,Grabadora,Lugar,DiaGrabadora,Transformación,Permanencia,Longitud,ACIft,ADI,ACItf,BI,TE,ESM,NDSI,P,M,NP,MID,BNF,BNT,MD,FM,SF,RMS,CF,ADIm1,ADIm2,ADIm3,ADIm4,ADIm5,ADIm6,ADIm7,ADIm8,ADIm9,ADIm10,ADIm11
20170123,302143,Bolívar,20170123302143,Alta,Alta,75º9'42.71'' W,"0,881962198755385","1,37958537980212","0,686408536249901","0,373568767132005","0,780667110192611","-0,995663533743657","0,102276753677763","-0,442451947292613","0,138899511739008","-0,164821476793662","0,104948769094437","-0,514482725460157","-0,998146430287809","-0,192154112570185","-0,829137631822349","0,13987934872274","0,071232558037344","-0,546969115804483","0,087817249333564","-0,727843587790119","-0,582862180923235","-0,308798142723924","-0,926149852722492","-0,3310574502087","-0,08483386173507","-0,863395405059811","-1,82804248468208","-2,11751838944292","-2,40774710645655"
20170124,302143,Bolívar,20170124302143,Alta,Alta,75º9'42.71'' W,"1,02242344541564","1,61360991490528","1,37875426585608","0,689790500722663","0,740970925232941","-0,858666168317373","0,2724419033052","-0,274769793559529","0,139989844812478","-0,145245722654407","-0,130108244551376","-0,508200003366845","-0,998146430287809","0,012233666043682","-1,34066688187644","0,147465283052171","0,077301987501481","-0,54752964612904","-0,040984623156132","-0,678476764206677","-0,679741466997579","0,243078209729484","-0,736513768338131","-0,277028586728799","-0,368561051860229","-0,961068137690802","-1,9670729226275","-2,22673681758109","-2,74034243222775"
20170125,302143,Bolívar,20170125302143,Alta,Alta,75º9'42.71'' W,"1,11116104095815","1,28233317737695","1,50181287223534","0,635879208560468","0,750586921433434","-1,35990323841196","0,467130123147461","0,044668181775217","0,142089174246446","-0,047031681401484","-0,304516815284013","-0,515765805289713","-0,998146430287809","-0,051154195373617","-1,80351851690845","0,187222686662414","0,077418358384326","-0,549002683535536","0,175422308140229","-0,429356961230342","-0,596137143336776","0,282600544801214","-0,416819943193063","-0,122727689482027","-0,193826555969584","-0,80983496132532","-2,2470248342061","-2,72937819639927","-2,94824867233965"
20170126,302143,Bolívar,20170126302143,Alta,Alta,75º9'42.71'' W,"1,66804956507168","1,37101511856645","1,6270492115321","1,0265697634148","0,600144118586274","-1,69252968160614","0,609323299525549","0,37518739150137","0,159900512955838","0,208658362254707","-0,531328162727461","-0,496564989380486","-0,998146430287809","-0,174623094205782","-2,05513882405259","-0,214244705102379","0,123891483605041","-0,531358668080872","-0,253457431349779","-0,982034100714045","-1,06329051189121","0,153703171793902","-0,902966588745422","-0,663793521497971","-0,948217204148902","-1,58674484706351","-2,64599470847436","-2,92666713925731","-3,71750598591716"
20170127,302143,Bolívar,20170127302143,Alta,Alta,75º9'42.71'' W,"1,35759805586675","1,47356517662983","1,2911463575993","0,762732894091573","0,703073142191573","-1,25572078131366","0,266255540162315","0,170234059381297","0,14543241382847","0,152064733582582","-0,630770567793193","-0,488857824251939","-0,998146430287809","-0,10029008035988","-1,58746388008929","-0,16479327001665","0,083173483094115","-0,542039562779838","0,22550896280786","-0,857030584395817","-0,913719791200509","0,131136623035822","-0,725501868455503","-0,514248234913986","-0,349673185791665","-1,01266270973497","-2,14070295249473","-2,62322038916154","-3,30184024544239"
20170202,302143,Bolívar,20170202302143,Alta,Alta,75º9'42.71'' W,"0,905797350795175","0,861637064597255","1,78718472184199","0,447646639590094","0,695667319055679","-0,801246929916012","0,20891566845548","0,359858579271195","0,147578525992518","-0,160074516654497","-0,627550375402439","-0,46551977721403","-0,998146430287809","0,002367115508949","-2,40439293922132","0,006157681743478","0,082056868089269","-0,532456311859141","-0,580912604021313","-1,66550054821305","-1,13292020678127","-0,0251917462394","-0,426588205608396","-0,304547449738282","-0,23600848615855","-0,636993717009379","-1,88454968772727","-2,25255606067277","-2,7696773503994"
20170203,302143,Bolívar,20170203302143,Alta,Alta,75º9'42.71'' W,"1,20249026516662","1,04711924090633","1,58300150524321","0,583866088884987","0,678248187660023","-1,46312044860578","0,324410717919523","0,485709657074046","0,151495311154855","0,056348615392794","-0,490916306779327","-0,451822311398218","-0,998146430287809","0,001934987070262","-2,22300940052607","-0,144194340353529","0,085987965304672","-0,535769576305843","-0,616998622687559","-1,2728753559258","-1,09815294221714","0,252646405419214","-0,167641881086565","-0,06275190094736","-0,101028867269637","-0,908189262341786","-2,26168527593443","-2,88560146533237","-3,19347387768416"
20170204,302143,Bolívar,20170204302143,Alta,Alta,75º9'42.71'' W,"0,664333418472886","1,1558444289417","0,474020281836324","0,661937980843686","0,665447705000285","-1,89103616207049","0,642820754196226","0,180841327460215","0,144062975450016","0,061343577321452","-0,754964672109063","-0,496552076559128","-0,998146430287809","-0,098552105252","-2,11454674834998","-0,331839054283169","0,091286809599392","-0,533337504570028","-0,470976330286693","-1,31738444635155","-1,29822651504681","-0,082735869781065","-0,192406299199994","-0,351406427935007","-0,629702947436775","-1,56190825898269","-2,68268240357422","-2,90872584548128","-3,17173362770997"
20170205,302143,Bolívar,20170205302143,Alta,Alta,75º9'42.71'' W,"0,992874872661518","1,4304250798888","0,539384560811006","0,982857137477835","0,549246111717023","-2,27323178716505","0,889151953053548","0,074896766991499","0,158923787709548","0,224183249226965","-0,759764125325413","-0,474810246073639","-0,998146430287809","-0,339604070615255","-2,13492648350234","-0,590491368431444","0,140979797342022","-0,53077864459558","-0,619881312746251","-1,4897284032109","-1,12454628714742","0,152552371503268","-0,033078702767601","-0,201372831451669","-0,605858546531249","-1,19880119307705","-2,7834760897761","-3,42904539505031","-3,67325871058125"
20170206,302143,Bolívar,20170206302143,Alta,Alta,75º9'42.71'' W,"1,40978227531474","0,854388318835926","1,37272129951461","0,47949205854144","0,632554257549691","-2,04628702417139","0,608745157604121","0,274087749839936","0,150196918000416","0,053015218241906","-0,738834976513535","-0,470344206134413","-0,998146430287809","-0,446873525609974","-2,13629041456517","-0,539821982836212","0,097755729141761","-0,504803558731742","-0,670648535543006","-1,59325278268838","-1,82906691936598","-0,082484552862031","-0,213239198461535","-0,003668579447264","-0,194428542320307","-0,929000236598438","-2,71526381281476","-3,45979133327731","-3,41493515773087"
