,Grabadora,Lugar,DiaGrabadora,Transformación,Permanencia,Longitud,labelspredichasporGMMHMM
0,5067,Guajira,201601015067,Alta,Baja,73º26'3.2''W,4
1,5067,Guajira,201601025067,Alta,Baja,73º26'3.2''W,4
2,5067,Guajira,201601035067,Alta,Baja,73º26'3.2''W,4
3,5067,Guajira,201601045067,Alta,Baja,73º26'3.2''W,4
4,5067,Guajira,201601055067,Alta,Baja,73º26'3.2''W,4
5,5067,Guajira,201601115067,Alta,Baja,73º26'3.2''W,4
6,5067,Guajira,201601125067,Alta,Baja,73º26'3.2''W,4
7,5067,Guajira,201601135067,Alta,Baja,73º26'3.2''W,4
8,5067,Guajira,201601145067,Alta,Baja,73º26'3.2''W,4
9,5067,Guajira,201601155067,Alta,Baja,73º26'3.2''W,4
10,5067,Guajira,201601215067,Alta,Baja,73º26'3.2''W,4
11,5067,Guajira,201601225067,Alta,Baja,73º26'3.2''W,4
12,5071,Guajira,201612215071,Alta,Alta,"73º26'25.7""W",1
13,5071,Guajira,201612235071,Alta,Alta,"73º26'25.7""W",6
14,5071,Guajira,201612245071,Alta,Alta,"73º26'25.7""W",6
15,5071,Guajira,201612255071,Alta,Alta,"73º26'25.7""W",6
16,302143,Guajira,20170103302143,Baja,Baja,"73º26'07.7""W",5
17,302143,Guajira,20170104302143,Baja,Baja,"73º26'07.7""W",5
18,302143,Guajira,20170114302143,Baja,Baja,"73º26'07.7""W",5
19,JSC5069,Guajira,20151212JSC5069,Baja,Baja,73º26'8.4''W,1
20,JSC5069,Guajira,20151213JSC5069,Baja,Baja,73º26'8.4''W,1
21,JSC5069,Guajira,20151214JSC5069,Baja,Baja,73º26'8.4''W,1
22,JSC5069,Guajira,20151215JSC5069,Baja,Baja,73º26'8.4''W,1
23,JSC5069,Guajira,20151216JSC5069,Baja,Baja,73º26'8.4''W,6
24,JSC5069,Guajira,20160101JSC5069,Baja,Baja,73º26'8.4''W,1
25,JSC5069,Guajira,20160102JSC5069,Baja,Baja,73º26'8.4''W,1
26,JSC5069,Guajira,20160103JSC5069,Baja,Baja,73º26'8.4''W,1
27,JSC5069,Guajira,20160104JSC5069,Baja,Baja,73º26'8.4''W,1
28,JSC5069,Guajira,20160105JSC5069,Baja,Baja,73º26'8.4''W,1
29,JSC5069,Guajira,20160111JSC5069,Baja,Baja,73º26'8.4''W,1
30,JSC5069,Guajira,20160112JSC5069,Baja,Baja,73º26'8.4''W,1
31,JSC5069,Guajira,20160113JSC5069,Baja,Baja,73º26'8.4''W,1
32,JSC5069,Guajira,20160114JSC5069,Baja,Baja,73º26'8.4''W,1
33,JSC5069,Guajira,20160115JSC5069,Baja,Baja,73º26'8.4''W,1
34,JSC5069,Guajira,20160121JSC5069,Baja,Baja,73º26'8.4''W,1
35,JSC5069,Guajira,20160122JSC5069,Baja,Baja,73º26'8.4''W,1
36,302151,Guajira,20161221302151,Media,Alta,"73º25'51.9""W",2
37,302151,Guajira,20161223302151,Media,Alta,"73º25'51.9""W",2
38,302151,Guajira,20161224302151,Media,Alta,"73º25'51.9""W",2
39,302151,Guajira,20161225302151,Media,Alta,"73º25'51.9""W",0
40,302151,Guajira,20161231302151,Media,Alta,"73º25'51.9""W",0
41,302151,Guajira,20170101302151,Media,Alta,"73º25'51.9""W",2
42,302151,Guajira,20170102302151,Media,Alta,"73º25'51.9""W",2
43,302151,Guajira,20170103302151,Media,Alta,"73º25'51.9""W",2
44,302151,Guajira,20170104302151,Media,Alta,"73º25'51.9""W",2
45,302151,Guajira,20170110302151,Media,Alta,"73º25'51.9""W",0
46,302151,Guajira,20170111302151,Media,Alta,"73º25'51.9""W",0
47,302151,Guajira,20170112302151,Media,Alta,"73º25'51.9""W",0
48,5072,Guajira,201512125072,Media,Alta,73º26'36.9''W,3
49,5072,Guajira,201512135072,Media,Alta,73º26'36.9''W,3
50,5072,Guajira,201512145072,Media,Alta,73º26'36.9''W,3
51,5072,Guajira,201512155072,Media,Alta,73º26'36.9''W,3
52,5072,Guajira,201512185072,Media,Alta,73º26'36.9''W,3
53,5072,Guajira,201512275072,Media,Alta,73º26'36.9''W,3
54,5072,Guajira,201512285072,Media,Alta,73º26'36.9''W,3
55,5072,Guajira,201512295072,Media,Alta,73º26'36.9''W,3
56,5072,Guajira,201512315072,Media,Alta,73º26'36.9''W,3
57,5072,Guajira,201601015072,Media,Alta,73º26'36.9''W,3
